repo;path;name;type;size;created;created_by;modified;modified_by;updated;producerId;moduleId;version;id;url
drivers;@actility/ascoel-pb/-/@actility;ascoel-pb-1.0.0.tgz;file;3124;2020-06-26T08:46:47.944Z;jenkins;2020-06-26T08:46:47.864Z;jenkins;2020-06-26T08:46:47.944Z;actility;ascoel-pb;1.0.0;actility:ascoel-pb:1;https://repo.int.actility.com/artifactory/drivers/@actility/ascoel-pb/-/@actility/ascoel-pb-1.0.0.tgz
drivers;@actility/dl-smtp/-/@actility;dl-smtp-1.1.3.tgz;file;1738;2021-02-02T11:04:05.875Z;jenkins;2021-02-02T11:04:05.815Z;jenkins;2021-02-02T11:04:05.875Z;actility;dl-smtp;1.1.3;actility:dl-smtp:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-smtp/-/@actility/dl-smtp-1.1.3.tgz
drivers;@actility/dl-kl66/-/@actility;dl-kl66-1.1.3.tgz;file;1849;2021-02-02T11:03:57.834Z;jenkins;2021-02-02T11:03:57.802Z;jenkins;2021-02-02T11:03:57.835Z;actility;dl-kl66;1.1.3;actility:dl-kl66:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-kl66/-/@actility/dl-kl66-1.1.3.tgz
drivers;@senlab/h/-/@senlab;h-2.5.1.tgz;file;58224;2020-12-11T18:47:46.776Z;jenkins;2020-12-11T18:47:46.672Z;jenkins;2020-12-11T18:47:46.779Z;senlab;h;2.5.1;senlab:h:2;https://repo.int.actility.com/artifactory/drivers/@senlab/h/-/@senlab/h-2.5.1.tgz
drivers;@actility/ascoel-cm/-/@actility;ascoel-cm-1.0.0.tgz;file;3761;2020-06-26T08:46:45.187Z;jenkins;2020-06-26T08:46:45.09Z;jenkins;2020-06-26T08:46:45.187Z;actility;ascoel-cm;1.0.0;actility:ascoel-cm:1;https://repo.int.actility.com/artifactory/drivers/@actility/ascoel-cm/-/@actility/ascoel-cm-1.0.0.tgz
drivers;@actility/dl-iam/-/@actility;dl-iam-1.1.3.tgz;file;2105;2021-02-02T11:03:56.149Z;jenkins;2021-02-02T11:03:56.115Z;jenkins;2021-02-02T11:03:56.149Z;actility;dl-iam;1.1.3;actility:dl-iam:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-iam/-/@actility/dl-iam-1.1.3.tgz
drivers;@senlab/d/-/@senlab;d-2.5.1.tgz;file;58225;2020-12-11T18:47:45.613Z;jenkins;2020-12-11T18:47:45.575Z;jenkins;2020-12-11T18:47:45.613Z;senlab;d;2.5.1;senlab:d:2;https://repo.int.actility.com/artifactory/drivers/@senlab/d/-/@senlab/d-2.5.1.tgz
drivers;@senlab/p/-/@senlab;p-2.5.1.tgz;file;58226;2020-12-11T18:47:49.642Z;jenkins;2020-12-11T18:47:49.482Z;jenkins;2020-12-11T18:47:49.645Z;senlab;p;2.5.1;senlab:p:2;https://repo.int.actility.com/artifactory/drivers/@senlab/p/-/@senlab/p-2.5.1.tgz
drivers;@actility/ascoel-ir/-/@actility;ascoel-ir-1.0.0.tgz;file;3253;2020-06-26T08:46:47.178Z;jenkins;2020-06-26T08:46:47.126Z;jenkins;2020-06-26T08:46:47.178Z;actility;ascoel-ir;1.0.0;actility:ascoel-ir:1;https://repo.int.actility.com/artifactory/drivers/@actility/ascoel-ir/-/@actility/ascoel-ir-1.0.0.tgz
drivers;@actility/adeunis-temp2/-/@actility;adeunis-temp2-1.1.4.tgz;file;5724;2021-02-02T10:54:26.089Z;jenkins;2021-02-02T10:54:26.031Z;jenkins;2021-02-02T10:54:26.09Z;actility;adeunis-temp2;1.1.4;actility:adeunis-temp2:1;https://repo.int.actility.com/artifactory/drivers/@actility/adeunis-temp2/-/@actility/adeunis-temp2-1.1.4.tgz
